"CÓDIGO
DO FUNDO",SETOR,PREÇO ATUAL,LIQUIDEZ DIÁRIA,DIVIDENDO,"DIVIDEND
YIELD","DY (3M)
ACUMULADO","DY (6M)
ACUMULADO","DY (12M)
ACUMULADO","DY (3M)
MÉDIA","DY (6M)
MÉDIA","DY (12M)
MÉDIA",DY ANO,VARIAÇÃO PREÇO,"RENTAB.
PERÍODO","RENTAB.
ACUMULADA","PATRIMÔNIO
LÍQ.",VPA,P/VPA,"DY
PATRIMONIAL","VARIAÇÃO
PATRIMONIAL","RENTAB. PATR.
NO PERÍODO","RENTAB. PATR.
ACUMULADA","VACÂNCIA
FÍSICA","VACÂNCIA
FINANCEIRA","QUANTIDADE
ATIVOS"
XPML11,Shoppings,"R$ 104,95", 37601.0 ,"R$ 0,70","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","0,11","0,12","0,16","R$ 1.907.854.902,08","R$ 102,12","1,03",N/A,N/A,N/A,N/A,"0,04",N/A,16
RZAK11,Títulos e Val. Mob.,"R$ 101,75", 10266.0 ,"R$ 1,50","0,02","0,05","0,09","0,16","0,02","0,02","0,01","0,11","0,00","0,02","0,16","R$ 323.459.849,34","R$ 95,05","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
RBLG11,Logística,"R$ 98,25", 6.0 ,"R$ 0,88","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,06","0,09","0,10","0,16","R$ 66.371.773,28","R$ 103,67","0,95",N/A,N/A,N/A,N/A,"0,00",N/A,1
NSLU11,Hospital,"R$ 179,84", 3089.0 ,"R$ 0,85","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,02","0,12","0,13","0,14","R$ 251.494.605,37","R$ 194,46","0,92",N/A,N/A,N/A,N/A,"0,00",N/A,1
EVBI11,Híbrido,"R$ 100,00", 861.0 ,"R$ 0,75","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,05","0,01","0,02","0,12","R$ 139.909.108,47","R$ 100,09",1,N/A,N/A,N/A,N/A,"0,00",N/A,4
MAXR11,Outros,"R$ 82,50", 1829.0 ,"R$ 0,70","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,05","0,13","0,14","0,12","R$ 135.305.467,68","R$ 120,20","0,69",N/A,N/A,N/A,N/A,"0,03",N/A,8
SNFF11,Títulos e Val. Mob.,"R$ 89,67", 3136.0 ,"R$ 0,65","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,06","0,03","0,04","0,11","R$ 235.606.490,70","R$ 94,24","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
BLCP11,Outros,"R$ 88,98", 20.0 ,"R$ 0,52","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,04","0,00","0,01","0,11","R$ 256.624.475,41","R$ 111,76","0,8",N/A,N/A,N/A,N/A,"0,06",N/A,2
CNES11,Lajes Corporativas,"R$ 33,66", 69.0 ,"R$ 0,10","0,00","0,01","0,01","0,04","0,00","0,00","0,00","0,02","0,09","0,10","0,10","R$ 257.399.777,87","R$ 87,28","0,39",N/A,N/A,N/A,N/A,"0,57",N/A,1
FIIB11,Híbrido,"R$ 484,95", 493.0 ,"R$ 3,55","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,05","0,07","0,08","0,10","R$ 312.730.340,17","R$ 456,54","1,06",N/A,N/A,N/A,N/A,"0,06",N/A,1
